input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,chosen_veridion_id,chosen_company_name,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,website_domain,website_url,primary_phone,employee_count,revenue,main_industry,main_business_category,created_at,last_updated_at,chosen_score,score_margin,name_sim,country_match,city_match,postcode_match,street_match,number_match,susp_tld,tld,country_mismatch,low_conf,needs_review,review_reasons
107,CONTROL RISKS GROUP LIMITED,GB,United Kingdom,England,London,SE1 2QG,Cottons Lane,,be890a78-9d75-11ed-816c-8fdd7f384ea6,Control Risks Group Holdings Ltd.,GB,United Kingdom,England,London,SE1 2QG,Cottons Lane,,controlrisks.net,https://www.controlrisks.net/,447809145702.0,,107300000.0,,,2023-01-26T12:33:29.102Z,2024-11-25T06:57:37.570Z,0.8506808510638298,0.10380585106382978,0.8085106382978723,1.0,1.0,1.0,0.8,0.0,False,net,False,False,False,
108,CORPORATE COMMUNICATIONS AS,NO,Norway,Oslo,Oslo,0252,Fru Kroghs Brygge,2,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,Corporate Communications,NO,Norway,Oslo,Oslo,0252,Fru Kroghs Brygge,2,corporatecommunications.no,https://corporatecommunications.no/,4723898930.0,83.0,27943802.0,Marketing & Advertising Agencies,Public Relations Agencies,2020-02-24T13:39:32.000Z,2025-04-04T05:18:49.507Z,0.9860000000000001,0.3386315789473685,1.0,1.0,1.0,1.0,0.8,1.0,False,no,False,False,False,
109,"COUPA SOFTWARE, INC.",US,United States,California,San Mateo,94402,South Grant Street,1855,f62860c0-93e4-11eb-8e19-198fb02d6f96,Coupa,US,United States,California,San Mateo,94402,South Grant Street,1855,coupa.com,https://www.coupa.com/,442038658401.0,3076.0,838000000.0,Software & IT Services,Tech Companies,2019-11-24T00:06:47.000Z,2025-04-04T11:44:14.609Z,0.7254736842105265,0.12021052631578966,0.5263157894736842,1.0,1.0,1.0,0.8,1.0,False,com,False,False,False,
11,Accutics ApS,DK,Denmark,Region Of Southern Denmark,Odense,5250,Dalumvej,16,347c7e63-93e5-11eb-90d2-e3355a7e800b,Accutics,DK,Denmark,Capital Region Of Denmark,Copenhagen Municipality,1463,Farvergade,17 3,accutics.com,https://www.accutics.com/,4526181402.0,40.0,12575664.0,Software & IT Services,Software Development Services,2020-02-17T22:06:35.000Z,2025-04-20T18:17:55.423Z,0.6400000000000001,0.07200000000000006,0.8,1.0,0.0,0.0,0.0,0.0,False,com,False,False,False,
110,"COURSERA, INC.",US,United States,California,Mountain View,94041,East Evelyn Avenue,381,7e044e20-93e4-11eb-8474-3bbe2d07207d,Coursera,US,United States,California,Mountain View,94041,East Evelyn Avenue,381,coursera.org,https://www.coursera.org/,16509639884.0,1295.0,636000000.0,Education,Colleges & Universities,2019-11-24T03:26:47.000Z,2025-04-15T15:55:18.000Z,0.9860000000000001,0.0,1.0,1.0,1.0,1.0,0.8,1.0,False,org,False,True,True,low_confidence
111,CRAYON A/S,DK,Denmark,Capital Region Of Denmark,Gladsaxe Municipality,2860,Tobaksvejen,2a 3,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon A/S.,DK,Denmark,Central Denmark Region,Silkeborg,8600,Søndergade,17,,,4544232088.0,,,Software & IT Services,Tech Companies,2023-05-16T08:13:41.097Z,2025-03-26T23:03:16.071Z,0.75,0.21153846153846145,1.0,1.0,0.0,0.0,0.0,0.0,False,,False,False,False,
112,CRAYON AS,NO,Norway,Oslo,Oslo,0484,Gullhaug Torg,5,a8683402-93e4-11eb-919a-b3f9a5ad205c,CRAYON,NO,Norway,Oslo,Oslo,0484,Sandakerveien,114,rewired.no,https://rewired.no/,4793409462.0,8.0,2912310.0,Software & IT Services,Tech Companies,2020-05-03T15:14:24.000Z,2025-04-20T18:45:13.234Z,0.9,0.050000000000000044,1.0,1.0,1.0,1.0,0.0,0.0,False,no,False,False,False,
113,CRAYON PTE. LTD.,SG,Singapore,,,,,,6a476573-fc5f-11ed-8ac7-07e1fa4e1850,Crayon Creation,SG,Singapore,,,,,,crayon.sg,https://crayon.sg/,,1.0,,Blogs & Publications,Educational Publications,2023-05-27T06:42:29.000Z,2024-08-02T07:50:30.000Z,0.6142857142857142,0.026050420168067023,0.5714285714285714,1.0,1.0,0.0,0.0,0.0,False,sg,False,True,True,low_confidence
114,"CROWDSTRIKE SERVICES, INC.",US,United States,California,Sunnyvale,94086,Mathilda Place,150,01be7de3-0c24-11ec-aa7c-a3d935d57c91,CrowdStrike,US,United States,California,Sunnyvale,94086,Mathilda Place,150,mdcoin.net,https://www.mdcoin.net/,18885128906.0,,,Software & IT Services,Tech Companies,2019-11-26T22:56:08.000Z,2025-04-17T13:04:28.810Z,0.8263225806451614,0.0,0.7096774193548387,1.0,1.0,1.0,0.8,1.0,False,net,False,True,True,low_confidence
115,Searcher ApS,DK,Denmark,Central Denmark Region,Aarhus Municipality,8000,20,7,c7c58151-43ae-11ef-b5d2-e5c02fb4c089,Searcher,DK,Denmark,Central Denmark Region,Aarhus,8000,Vester Allé,7,searcher.dk,https://searcher.dk/,4573727715.0,10.0,1933729.0,HR Services,Employment Agencies & HR Consulting,2024-06-19T15:14:55.000Z,2025-04-19T18:59:39.292Z,0.7700000000000002,0.2180000000000002,0.8,1.0,0.5,1.0,0.0,1.0,False,dk,False,False,False,
116,"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",TH,Thailand,,,,,,e8e82741-5871-11ec-b633-39790144a985,Cushman & Wakefield Services Thailand Co. Ltd.,TH,Thailand,Bangkok,Ratchathewi,10400,Phaya Thai Road,188,,,6621683101.0,,,Real Estate - Agents & Managers,Real Estate - Agents & Managers,2021-12-09T02:38:59.000Z,2025-04-10T18:47:53.984Z,0.75,0.28661971830985916,1.0,1.0,0.0,0.0,0.0,0.0,False,,False,False,False,
117,DADES Center Ost ApS,DK,Denmark,Capital Region Of Denmark,Kongens Lyngby,2800,Lyngby Hovedgade,4,1e999e70-93e5-11eb-91fb-73d498260b10,Dades,DK,Denmark,Capital Region Of Denmark,Kongens Lyngby,2800,Lyngby Hovedgade,4,dades.dk,https://dades.dk/,4545260100.0,,,Other Durable Products,Malls & Shopping Centers,2020-02-24T14:24:20.000Z,2025-04-20T01:32:51.204Z,0.6560000000000001,0.06666666666666665,0.4,1.0,1.0,1.0,0.8,1.0,False,dk,False,False,False,
118,BONNIER BUSINESS PRESS A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1116,Møntergade,19,d73874c7-93e4-11eb-a736-0f5b20ecb2f1,Bonnier Magazine Data,DK,Denmark,Capital Region Of Denmark,Copenhagen,2100,Strandboulevarden,122,bm-data.com,https://www.bm-data.com/,4539172000.0,20.0,3960356.0,Newspapers & Magazines,Newspapers & Magazines,2020-05-06T14:58:18.000Z,2025-03-29T07:38:11.385Z,0.6042553191489363,0.0182553191489363,0.5531914893617021,1.0,1.0,0.0,0.0,0.0,False,com,False,True,True,low_confidence
119,DAILY JURRAT,PK,Pakistan,Punjab,Civil Lines,54010,Abbott Road,14,274fad6c-c92c-11ef-b92c-292a20d200b3,Gorila Products,PK,Pakistan,Punjab,Civil Lines,54010,Abbott Road,,gorilaproducts.com,https://gorilaproducts.com/,923230483686.0,,,Other Nondurable Products,Cleaning Equipment & Supplies,2024-08-26T01:23:40.000Z,2024-08-31T02:41:57.000Z,0.6097037037037039,0.02709500805152998,0.37037037037037035,1.0,1.0,1.0,0.8,0.0,False,com,False,True,True,low_confidence
12,ACOME,FR,France,Ile-de-France,Paris,75014,Rue Du Montparnasse,52,fed105d4-93e4-11eb-9937-4fab995bf8ff,ACOME Company a Cooperative,FR,France,Ile-de-France,Paris,75014,Rue Du Montparnasse,52,acome.com,https://www.acome.com/en,33142791500.0,3000.0,655900032.0,Electrical & Electronic Equipment,Cables & Wires,2019-11-24T01:34:56.000Z,2025-04-14T08:39:12.000Z,0.6651666666666668,0.09850000000000014,0.4166666666666667,1.0,1.0,1.0,0.8,1.0,False,com,False,False,False,
120,Dansk Kredit Rad,DK,Denmark,Region Zealand,Greve Strand,2670,Greve Strandvej,9,070edae0-93e5-11eb-b4a6-27899be4e45d,Dansk Kredit Råd,DK,Denmark,Region Zealand,Køge,4600,Brogade,19G,dk-r.dk,https://dk-r.dk/,4525635132.0,15.0,2514085.0,Associations,Finance Associations,2019-11-24T12:54:16.000Z,2025-04-19T08:57:11.773Z,0.75,0.23612903225806448,1.0,1.0,0.0,0.0,0.0,0.0,False,dk,False,False,False,
121,DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,DK,Denmark,Capital Region Of Denmark,Herlev,2730,Marielundvej,43B,1f89f1e3-93e5-11eb-b5f6-816dd10ac7b0,Dansk Sundhedssikring,DK,Denmark,Capital Region Of Denmark,Herlev,2730,Hørkær,12B,ds-sundhed.dk,http://ds-sundhed.dk/,4570206121.0,210.0,7100000.0,Insurance,"Insurance - Agents, Carriers & Brokers",2019-11-24T12:36:42.000Z,2025-03-27T12:07:53.780Z,0.7000000000000001,0.1368571428571428,0.6363636363636364,1.0,1.0,1.0,0.0,0.0,False,dk,False,False,False,
122,DANSKE BANK A/S,DK,Denmark,,,,,,114fdce6-1246-11ec-9bdc-5f0970ddc6bb,Danske Bank CVI,DK,Denmark,,,,,,danskebankforeninger.dk,https://danskebankforeninger.dk/,,75.0,22743520.0,Banks & Financial Services,Banks & ATMs,2021-09-10T13:15:41.000Z,2025-01-30T04:00:44.000Z,0.7400000000000001,0.06285714285714294,0.8,1.0,1.0,0.0,0.0,0.0,False,dk,False,False,False,
123,Dantec Nordics ApS,DK,Denmark,Region Of Southern Denmark,Aabenraa Municipality,6330,Thorsvej,6,fdd5fee0-9bc7-11ec-abde-87ab8965fdf7,Dantec Nordics,DK,Denmark,Region Of Southern Denmark,Aabenraa Municipality,6330,Thorsvej,6,dantec-nordics.dk,https://www.dantec-nordics.dk/,4573702530.0,75.0,110845936.0,Consumer Electronics & Appliances,Electronics Stores,2022-02-07T00:19:25.000Z,2025-03-26T22:03:50.721Z,0.9172500000000002,0.48263461538461566,0.875,1.0,1.0,1.0,0.8,1.0,False,dk,False,False,False,
124,DEAS A/S,DK,Denmark,Capital Region Of Denmark,Frederiksberg Municipality,2000,Dirch Passers Allé,76,08e9dc7d-93e5-11eb-919a-b3f9a5ad205c,DEAS Group,DK,Denmark,Capital Region Of Denmark,Frederiksberg,2000,Dirch Passers Allé,76,deas.dk,https://deas.dk/da,,850.0,295469632.0,Real Estate - Agents & Managers,Real Estate - Agents & Managers,2020-08-21T11:46:29.000Z,2024-11-21T00:22:53.522Z,0.6915555555555557,0.04003831417624515,0.5555555555555556,1.0,0.5,1.0,0.8,1.0,False,dk,False,True,True,low_confidence
125,DEKO-STYLE V/ANJA GRONNE,DK,Denmark,Central Denmark Region,Aarhus Municipality,8250,Havlitvej,7,2840eeb8-93e5-11eb-8859-29e7c34dee35,Deko Style,DK,Denmark,Central Denmark Region,Aarhus Municipality,8250,Hjortshøjvej,6,dekostyle.dk,https://dekostyle.dk/,4520443514.0,20.0,2833310.0,Graphic Design,Graphic Design,2019-11-24T01:29:13.000Z,2025-04-08T02:13:11.720Z,0.6735294117647059,0.35000000000000003,0.5882352941176471,1.0,1.0,1.0,0.0,0.0,False,dk,False,False,False,
126,DELFI TECHNOLOGIES A/S,DK,Denmark,Region Zealand,Køge,4600,Galoche Alle,1,8647efa3-93e4-11eb-90d2-e3355a7e800b,Delfi Technologies,DK,Denmark,Region Zealand,Køge,4600,Valdemarshaab,11,delfi.com,https://www.delfi.com/en/,4570222555.0,170.0,16500000.0,Software & IT Services,Software Development Services,2019-11-23T23:43:22.000Z,2025-01-19T08:50:22.000Z,0.8450000000000001,0.23250000000000004,0.9,1.0,1.0,1.0,0.0,0.0,False,com,False,False,False,
127,DELL AS,NO,Norway,Oslo,Oslo,0283,Lilleakerveien,2B,beddde1c-93e4-11eb-8859-29e7c34dee35,Dell,NO,Norway,Oslo,Oslo,0283,Lilleakerveien,2B,dell.no,http://www.dell.no/?opi=79508299&sa=U&ved=0ahUKEwiSkpfC2KmMAxXBTDABHaXIFoIQ61gIFCgQ&usg=AOvVaw0kwchOCGTWXjKnv_NDR-y3,4767116800.0,,,,,2021-10-01T01:59:02.000Z,2025-03-27T07:21:06.440Z,0.9860000000000001,0.7764761904761905,1.0,1.0,1.0,1.0,0.8,1.0,False,no,False,False,False,
128,Dell Corporation (Thailand) Co Ltd,TH,Thailand,Bangkok,Yan Nawa District,10120,,,1fe10718-f025-11ee-9eb6-8ba0a080e844,Dellstore Thailand,TH,Thailand,Bangkok,Khan Na Yao,10230,Ram Inthra Road,589/7-9,dellstorethailand.com,https://dellstorethailand.com/?v=cb21c4d7dea9,6629476240.0,75.0,1972454.0,Consumer Electronics & Appliances,Computer Stores,2021-09-02T22:34:15.000Z,2025-04-21T01:30:57.763Z,0.6612903225806452,0.13629032258064522,0.8387096774193549,1.0,0.0,0.0,0.0,0.0,False,com,False,False,False,
129,DELL PRODUCTS,IE,Ireland,,,,,,0e7148d3-f82f-11ed-ad06-ab02ea1aeed6,Promac Products,IE,Ireland,Leinster,Ferns,Y21 AE80,L1014,,,,353539367510.0,,,Clothing,Fashion Accessories,2023-05-21T23:25:16.435Z,2025-04-17T07:21:42.857Z,0.5535714285714286,0.001571428571428557,0.6428571428571429,1.0,0.0,0.0,0.0,0.0,False,,False,True,True,low_confidence
13,"ACOME XINTAI CABLES CO., LTD.",CN,China,Shandong,Xintai,271200,,,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,CN,China,Beijing,Chaoyang,100004,Chaoyang Road,,,,,,,,,2023-05-21T12:54:33.439Z,2025-03-31T09:32:36.033Z,0.75,0.19516129032258056,1.0,1.0,0.0,0.0,0.0,0.0,False,,False,False,False,
130,DELOITTE ADVOKATFIRMA AS,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,b69603af-1aff-11ec-bc98-195cbdc2446a,Deloitte Norge,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,deloitte.no,http://www.deloitte.no/?opi=79508299&sa=U&ved=0ahUKEwiFwZ3V1quMAxValokEHbfFE-sQ61gIFCgQ&usg=AOvVaw1mrNGUeUDJuiYxHwgqhTP6,4723279000.0,,,Accountants & Tax Services,Accounting & Bookkeeping Services,2021-12-14T21:39:23.000Z,2025-03-28T02:16:33.403Z,0.7817142857142859,0.01978835978835991,0.6285714285714286,1.0,1.0,1.0,0.8,1.0,False,no,False,True,True,low_confidence
131,DELOITTE AS,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,b69603af-1aff-11ec-bc98-195cbdc2446a,Deloitte Norge,NO,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,14,deloitte.no,http://www.deloitte.no/?opi=79508299&sa=U&ved=0ahUKEwiFwZ3V1quMAxValokEHbfFE-sQ61gIFCgQ&usg=AOvVaw1mrNGUeUDJuiYxHwgqhTP6,4723279000.0,,,Accountants & Tax Services,Accounting & Bookkeeping Services,2021-12-14T21:39:23.000Z,2025-03-28T02:16:33.403Z,0.8360000000000002,0.18536585365853664,0.7272727272727273,1.0,1.0,1.0,0.8,1.0,False,no,False,False,False,
132,Deloitte Consulting (Sea) Sdn. Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,60000,Jalan Wan Kadir,10-12,4d8576a2-14c1-11ee-98f2-2b13cee7793d,Deloitte Consulting Malaysia Sdn Bhd.,MY,Malaysia,Kuala Lumpur,Kuala Lumpur,60000,Jalan Wan Kadir,,,,60376109000.0,,,Business Consulting,Business Consulting,2023-06-27T08:02:12.441Z,2025-04-19T20:16:08.103Z,0.8985373134328359,0.21753731343283578,0.8955223880597015,1.0,1.0,1.0,0.8,0.0,False,,False,False,False,
133,DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,DK,Denmark,,,,,,b14fddd0-93e4-11eb-b89f-536884b3e7dd,Revisto Statsautoriseret Revisionspartnerselskab,DK,Denmark,Central Denmark Region,Horsens,8700,Vejlevej,27,revisto.dk,https://revisto.dk/,4576276700.0,40.0,5493573.0,Accountants & Tax Services,Accounting & Bookkeeping Services,2019-11-24T01:13:37.000Z,2025-04-01T08:31:26.171Z,0.6876288659793814,0.10366660182843801,0.8865979381443299,1.0,0.0,0.0,0.0,0.0,False,dk,False,False,False,
134,"DELTA EJENDOM, AALBORG A/S",DK,Denmark,North Denmark Region,Aalborg Municipality,9000,Skibbrogade,3 3,0ede7fca-2dc6-11ec-b49b-63e83532064d,Aalborg Engineering A/S.,DK,Denmark,North Denmark Region,Aalborg,9200,Sofiendalsvej,93,,,4596313950.0,,,Engineering Services,Other Engineering Services,2021-12-08T16:23:24.000Z,2025-04-17T20:01:43.514Z,0.525,0.01918604651162792,0.5,1.0,0.5,0.0,0.0,0.0,False,,False,True,True,low_confidence
135,ELTEK AS,NO,Norway,Viken,Drammen,3036,,,169a31db-93e5-11eb-919a-b3f9a5ad205c,Eltek,NO,Norway,Viken,Drammen,3036,Gråterudveien,8,eltek.com,https://www.eltek.com/,18004354872.0,2378.0,389697728.0,Electrical & Electronic Equipment,Electronical Components Manufacturing,2019-11-24T01:41:36.000Z,2025-04-04T11:44:14.609Z,0.9,0.3944444444444445,1.0,1.0,1.0,1.0,0.0,0.0,False,com,False,False,False,
136,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,SG,Singapore,Central,Singapore,339213,Kallang Junction,17,70923a3d-93e4-11eb-a33a-a3dfba582839,Delta Electronics,SG,Singapore,Central,Singapore,178957,Saint George's Road,17,delta-singapore.com,https://www.delta-singapore.com/en-SG/index,6567475155.0,59.0,23570136.0,Electrical & Electronic Equipment,Electric Supplies & Power Generation,2020-10-27T17:04:23.000Z,2025-04-04T04:55:50.000Z,0.7040000000000001,0.33,0.68,1.0,1.0,0.0,0.0,1.0,False,com,False,False,False,
137,DHL EXPRESS (SINGAPORE) PTE. LTD.,SG,Singapore,Central,Singapore,018989,Marina Boulevard,1,8a43b7b9-8ab5-11ec-a3f9-e9923ce0ea68,DHL Express Singapore,SG,Singapore,Southeast,,535215,Tai Seng Drive,1,dhlexpress.com.sg,https://www.dhlexpress.com.sg/,,360.0,81376288.0,Freight Transport,Trucking and Logistics,2022-02-09T15:07:32.000Z,2024-11-21T20:00:48.464Z,0.78,0.15846153846153843,1.0,1.0,0.0,0.0,0.0,1.0,False,sg,False,False,False,
138,DIAL ZERO (PRIVATE) LIMITED,PK,Pakistan,Sindh,Orangi,,,,9d28dea3-93e4-11eb-86dd-ffbd1b53140e,DIAL ZERO,PK,Pakistan,Sindh,Karachi Division,75600,,,dialzero.pk,https://dialzero.pk/,,19.0,91829.0,Marketing & Advertising Agencies,Digital & Marketing Agencies,2020-10-27T17:27:08.000Z,2025-01-18T13:34:00.000Z,0.5807692307692308,0.08743589743589747,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,False,pk,False,False,False,
139,Nets Denmark A/S,DK,Denmark,Capital Region Of Denmark,Ballerup,2750,Klausdalsbrovej,601,1821bc30-93e5-11eb-a746-fdabd18be9c6,Nets group,DK,Denmark,Capital Region Of Denmark,Ballerup,2750,Klausdalsbrovej,601,nets.eu,https://nets.eu/,4721554401.0,2700.0,914499968.0,Banks & Financial Services,Payment Processing & Point of Sale,2019-11-23T22:12:55.000Z,2025-03-31T22:38:26.213Z,0.689846153846154,0.22317948717948727,0.46153846153846156,1.0,1.0,1.0,0.8,1.0,False,eu,False,False,False,
14,ADAPT A/S,DK,Denmark,Capital Region Of Denmark,Copenhagen,1411,Langebrogade,6A,e8772100-93e4-11eb-b5f6-816dd10ac7b0,Adapt Agency,DK,Denmark,Capital Region Of Denmark,Copenhagen,1411,Langebrogade,6A,adaptagency.com,https://adaptagency.com/,4533411050.0,160.0,35819152.0,Marketing & Advertising Agencies,Digital & Marketing Agencies,2019-11-24T01:40:20.000Z,2024-11-23T04:16:08.353Z,0.8026666666666668,0.1098095238095238,0.6666666666666666,1.0,1.0,1.0,0.8,1.0,False,com,False,False,False,
140,DIGI TELECOMMUNICATIONS SDN BHD,MY,Malaysia,,,,,,c2b35013-93e4-11eb-b997-8dd98d09cf25,DiGi Telecommunications,MY,Malaysia,Selangor,Petaling Jaya,47400,Jalan SS 4C/10,2137,celcomdigi.com,https://www.celcomdigi.com/,60162211800.0,1473.0,1396809088.0,Telecommunication Services,Telecommunications,2020-04-26T10:21:11.000Z,2025-04-04T11:44:14.609Z,0.6685185185185185,0.0013952308472855446,0.8518518518518519,1.0,0.0,0.0,0.0,0.0,False,com,False,True,True,low_confidence
141,Digi Telecommunications Sdn. Bhd.,MY,Malaysia,Selangor,Petaling Jaya,46200,Jalan Professor Khoo Kay Kim,,c2b35013-93e4-11eb-b997-8dd98d09cf25,DiGi Telecommunications,MY,Malaysia,Selangor,Petaling Jaya,47400,Jalan SS 4C/10,2137,celcomdigi.com,https://www.celcomdigi.com/,60162211800.0,1473.0,1396809088.0,Telecommunication Services,Telecommunications,2020-04-26T10:21:11.000Z,2025-04-04T11:44:14.609Z,0.7685185185185185,0.10139523084728552,0.8518518518518519,1.0,1.0,0.0,0.0,0.0,False,com,False,False,False,
142,DK HOSTMASTER A/S,DK,Denmark,North Denmark Region,Aalborg Municipality,9430,Thisted Landevej,108,2015b020-725d-11ec-8323-2bafca655da8,ANDERS LASSEN FONDEN,DK,Denmark,North Denmark Region,Aalborg Municipality,9430,Thisted Landevej,53,anderslassenfonden.dk,https://www.anderslassenfonden.dk/,,,,NGOs,Community Foundations,2022-01-08T23:37:24.000Z,2025-03-11T08:01:10.000Z,0.5843783783783785,0.09687837837837848,0.32432432432432434,1.0,1.0,1.0,0.8,0.0,False,dk,False,False,False,
143,DNA OYJ,FI,Finland,,,,,,3bb843df-d538-11ed-a180-99bd30d92bb6,DNA tester,FI,Finland,,,,,,dnatester.fi,https://dnatester.fi/,,75.0,11813433.0,Hospitals & Clinics,Medical Laboratories,2023-04-07T01:48:20.000Z,2024-11-02T02:38:35.000Z,0.5588235294117647,0.028823529411764692,0.47058823529411764,1.0,1.0,0.0,0.0,0.0,False,fi,False,True,True,low_confidence
